runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19
1, 0, 000013, 000013, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 36108435908, 13456179, 10737418240, 00422302, 00401322, 00001060, 00020878, 00019237, 00000000, 00000000, 00000000, 007, 2, 2700.001, 007, 3, 2700.000, 007, 4, 2699.999, 007, 5, 2699.769, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 1, 000024, 000024, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 82908073262, 15599616, 10737418240, 00347917, 00326898, 00000904, 00020929, 00019372, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 007, 4, 2700.000, 007, 5, 2699.781, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 2, 000038, 000038, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 361915215762, 18615500, 10737418240, 00244631, 00204917, 00001418, 00039493, 00037721, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 007, 4, 2700.000, 007, 5, 2699.933, 007, 6, 2700.000, 007, 7, 2700.000, 007, 8, 2699.999, 007, 9, 2699.902, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 3, 000049, 000049, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 445756602043, 19626803, 10737418240, 00242013, 00201523, 00001431, 00040297, 00038548, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2699.999, 007, 4, 2700.000, 007, 5, 2699.916, 007, 6, 2699.998, 007, 7, 2699.999, 006, 8, 2700.000, 007, 9, 2699.914, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 4, 000012, 000012, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 575378341714, 16685465, 10737418240, 00247490, 00194914, 00001718, 00052202, 00049497, 00000000, 00000000, 00000000, 007, 2, 2699.999, 006, 3, 2699.999, 007, 4, 2699.999, 007, 5, 2699.903, 007, 6, 2700.000, 007, 7, 2699.999, 007, 8, 2699.999, 007, 9, 2699.937, 007, 10, 2682.099, 007, 11, 2700.000, 001, 12, 2699.999, 007, 13, 2699.933, , , , , , , , , , , , , , , , , , , , , , , , 
0, 5, 000023, 000023, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 694268853088, 18322227, 10737418240, 00214825, 00163608, 00001876, 00050918, 00048568, 00000000, 00000000, 00000000, 007, 2, 2660.861, 007, 3, 2699.999, 000, 4, 2699.999, 007, 5, 2700.045, 007, 6, 2699.999, 007, 7, 2700.000, 001, 8, 2699.999, 007, 9, 2700.101, 007, 10, 2699.999, 007, 11, 2642.852, 007, 12, 2699.999, 007, 13, 2699.999, , , , , , , , , , , , , , , , , , , , , , , , 
1, 6, 000029, 000029, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 1027654975424, 19527270, 10737418240, 00148834, 00114867, 00001662, 00033499, 00031549, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2699.998, 007, 4, 2699.999, 007, 5, 2699.997, 007, 6, 2684.328, 007, 7, 2700.000, 000, 8, 2699.999, 007, 9, 2699.760, 007, 10, 2699.999, 007, 11, 2700.001, 001, 12, 2699.998, 007, 13, 2699.964, 007, 14, 2697.914, 007, 15, 2700.000, 000, 16, 2699.998, 007, 17, 2699.939, , , , , , , , , , , , 
0, 7, 000040, 000040, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 1149486265924, 20478361, 10737418240, 00144446, 00110688, 00001814, 00033323, 00031292, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2700.007, 007, 4, 2671.309, 007, 5, 2700.001, 007, 6, 2700.000, 007, 7, 2700.000, 001, 8, 2700.000, 007, 9, 2699.744, 007, 10, 2685.197, 007, 11, 2700.000, 000, 12, 2700.000, 007, 13, 2699.916, 007, 14, 2700.000, 007, 15, 2700.000, 000, 16, 2700.000, 007, 17, 2699.911, , , , , , , , , , , , 
1, 8, 000080, 000080, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 2271473592165, 25394380, 10737418240, 00101382, 00074677, 00002297, 00026316, 00023866, 00000000, 00000000, 00000000, 007, 2, 2687.725, 007, 3, 2690.301, 001, 4, 2699.999, 007, 5, 2663.476, 007, 6, 2626.437, 007, 7, 2700.000, 001, 8, 2696.199, 007, 9, 2699.901, 007, 10, 2682.401, 006, 11, 2700.000, 000, 12, 2688.498, 007, 13, 2700.048, 007, 14, 2687.980, 007, 15, 2700.000, 000, 16, 2680.227, 007, 17, 2566.518, 007, 18, 2699.999, 007, 19, 2699.999, 000, 20, 2678.044, 007, 21, 2699.901
0, 9, 000091, 000091, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 2449745064722, 26549862, 10737418240, 00098572, 00072527, 00002242, 00025649, 00023281, 00000000, 00000000, 00000000, 007, 2, 2669.484, 007, 3, 2697.334, 000, 4, 2699.999, 007, 5, 2355.879, 007, 6, 2699.999, 007, 7, 2700.000, 000, 8, 2632.670, 007, 9, 2699.917, 007, 10, 2676.054, 007, 11, 2668.437, 000, 12, 2699.528, 007, 13, 2656.629, 007, 14, 2680.675, 007, 15, 2699.999, 000, 16, 2699.999, 007, 17, 2672.835, 007, 18, 2700.000, 007, 19, 2700.000, 000, 20, 2699.999, 007, 21, 2699.933
